ADAM_ID,NAME,LONG_CONTENT_NOTE,SHORT_CONTENT_NOTE,NAME,WM_CONCAT(C.COUNTRY_CODE_ISO2A),START_DATE,SHORT_CONTENT_NOTE,LONG_CONTENT_NOTE
976448100,After Hours R&B and Electro,微醺的迷人爵士氣息、觸動人心的 R&B 頻率、動感的電音節奏，三種看似毫無關聯的音樂元素，巧妙地揉合出撩人的慢板都會舞曲。一整晚的 瘋狂熱舞後，讓加州 R&B 饒舌歌手 Fra nk Ocean、加拿大嘻哈天王 Drake、英國靈魂樂團 Sade 等人為你獻上一場醉人的聽覺饗宴。,在夜店跟著 high 歌跳了一整晚？就讓充滿都會風格的中慢板 R&B 與電音陪你和友人度過深夜時分。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976448300,Daft Punk Is Playing at My House,想來點 funky 的節奏讓你的派對更 high 嗎？這張歌單融合了龐克、獨立搖滾、funk、電子音樂等激發腎上腺素的歌曲，嚴選知名樂隊包括 L CD Soundsystem、Hot Chip、Yeah Yeah Yeahs 等，從頭到尾絕無冷場，保證讓你跳到腿軟。,想來點不一樣的另類派對歌單？融合舞蹈龐克、搖滾、電子音樂的歌曲為你激發腎上腺素。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976448500,Best Country Drinking Songs of the 90s,聚會慶祝、失戀心碎、一人獨處、夏日音樂祭⋯⋯不論什麼場合都有大口喝酒的理由。本歌單集合了 90 年代最受歡迎的鄉村飲酒歌，藉由 Br ooks & Dunn、David Lee Murphy 等鄉村巨星的作品，喚起你沉睡已久的青春記憶。,聽著鄉村好歌，開懷暢飲。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976448600,Lazy Morning,英國創作才女 Birdy、現代吟遊詩人 Passenger、新生代創作才子 Ed Sheeran 等炙手可熱的流行音樂歌手，以清新不造作的獨特唱腔、和緩 而從容的節奏，緩緩演繹出扣人心弦的動聽旋律，充滿文藝氣息的歌詞讓人深深陷入美麗意境之中。慵懶的早晨有美好音樂陪伴，是生活中最 平凡的小幸福。,用清新悅耳的流行好歌，開啟美好的一天吧。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976448700,Digital Love,電子舞曲給人的感覺總是冰冷冷、毫無感情。如果你也是這樣想，那就一定要聽聽這張歌單，跟著 Daft Punk、Bonobo、Toro Y Moi、Disclos ure 等人的電音與情人一起在舞池跳舞，感受愛情的溫度。,冰冷的電音也是有愛情的溫度，不信就來感受一下。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976449300,Summer Dance Party,集結火紅電音 DJ Calvin Harris、嘻哈天王 Pitbull、Mariah Carey 接班人 Ariana Grande 等人多首紅遍全球的流行榜冠軍金曲，這些熱力 四射的性感勁歌讓人如臨夏日水上派對般清新沁涼。,歐美流行勁歌雜錦，放送難以抵擋的熱力！,zh-Hant,"HK,MO,TW",24-Jun-15,,
976449400,Congo Comes to Paris: Soukous in the 80s and 90s,蘇庫斯 (soukous) 的名字來自法文「secousse」，意指「搖擺」，於 4、50 年代由剛果傳到非洲不同角落。到了 80 年代，部分剛果的蘇庫 斯音樂人移居法國，因而把蘇庫斯音樂介紹到歐洲。這個時期的重要音樂人包括 Kanda Bongo Man，他獨特的蘇庫斯風格開拓了之後的 kwassa kwassa 舞曲節奏。另外，被譽為「倫巴搖滾之王」的 Papa Wemba，於 80 年代初移居巴黎後，所創作的音樂亦在當地大受好評。,蘇庫斯 (soukous) 是來自剛果的舞蹈音樂，曾在法國掀起一陣熱潮。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976450600,Intro to Beth Orton,英國創作歌手貝絲歐頓 (Beth Orton) 打破了傳統民謠現代電子音樂的界線，融合神遊舞曲與另類搖滾，在 90 年代創造了劃時代的新風格。 從 90 年代初便與電子先驅合作，貝絲歐頓 1996 年的專輯《trailer Park》讓她初享盛名，其後 1999 年的《Central Reservation》及 200 2 年的《Daybreaker》兩張專輯，與名製作人 Andrew Weatherall 及電子天團化學兄弟等音樂人合作無間，更完美揉合電子與搖滾，享譽全球 。在往後的十年，貝絲歐頓創作風格漸轉，與後搖巨擘 Jim O'Rourke 及獨立搖管樂手 M. Ward 等人合作，曲風較傳統帶有管弦樂色彩，但仍 不離電子本色。,當電音遇上搖滾，90 年代極具影響力的英國創作歌手Beth Orth，讓傳統與現代撞擊出劃時代曲風。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976450700,Intro to Dashboard Confessional,"Dashboard Confessional 創作的是被歸類為 emo 的搖滾歌曲，賣點是感情滿滿。這支來自美國佛羅里達州的樂團，曲風直接明快，腦筋不用 想太多，就依從主音 Chris Carrabba 的嗓音一頭栽進他們建構的情感世界吧。樂團在 2000 年推出了首張專輯《The Swiss Army Romance》 ，往後推出的專輯《A Mark, a Mission, a Brand, a Scar》、《Dusk and Summer》等都獲得不錯的銷量。樂團以撼動人心的歌詞，充滿情感 的演繹，淋漓盡致地展現了 emo 風格。",來自美國佛羅里達州的 Dashboard Confessional ，擅長以直接帶勁的情感搖滾，直抵樂迷心靈。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976450900,Intro to Phil Keaggy,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
